Date,Open,High,Low,Close,Volume,Adj Close
2016-05-11,2083.290039,2083.290039,2064.459961,2064.459961,3821980000,2064.459961
2016-05-10,2062.629883,2084.870117,2062.629883,2084.389893,3600200000,2084.389893
2016-05-09,2057.550049,2064.149902,2054.310059,2058.689941,3788620000,2058.689941
2016-05-06,2047.77002,2057.719971,2039.449951,2057.139893,3796350000,2057.139893
2016-05-05,2052.949951,2060.22998,2045.77002,2050.629883,4008530000,2050.629883
2016-05-04,2060.300049,2060.300049,2045.550049,2051.120117,4058560000,2051.120117
2016-05-03,2077.179932,2077.179932,2054.889893,2063.370117,4173390000,2063.370117
2016-05-02,2067.169922,2083.419922,2066.110107,2081.429932,3841110000,2081.429932
2016-04-29,2071.820068,2073.850098,2052.280029,2065.300049,4704720000,2065.300049
2016-04-28,2090.929932,2099.300049,2071.620117,2075.810059,4309840000,2075.810059
2016-04-27,2092.330078,2099.889893,2082.310059,2095.149902,4100110000,2095.149902
2016-04-26,2089.840088,2096.870117,2085.800049,2091.699951,3557190000,2091.699951
2016-04-25,2089.370117,2089.370117,2077.52002,2087.790039,3319740000,2087.790039
2016-04-22,2091.48999,2094.320068,2081.199951,2091.580078,3790580000,2091.580078
2016-04-21,2102.090088,2103.780029,2088.52002,2091.47998,4175290000,2091.47998
2016-04-20,2101.52002,2111.050049,2096.320068,2102.399902,4184880000,2102.399902
2016-04-19,2096.050049,2104.050049,2091.679932,2100.800049,3896830000,2100.800049
2016-04-18,2078.830078,2094.659912,2073.649902,2094.340088,3316880000,2094.340088
2016-04-15,2083.100098,2083.219971,2076.310059,2080.72998,3701450000,2080.72998
2016-04-14,2082.889893,2087.840088,2078.129883,2082.780029,3765870000,2082.780029
2016-04-13,2065.919922,2083.179932,2065.919922,2082.419922,4191830000,2082.419922
2016-04-12,2043.719971,2065.050049,2039.73999,2061.719971,4239740000,2061.719971
2016-04-11,2050.22998,2062.929932,2041.880005,2041.98999,3567840000,2041.98999
2016-04-08,2045.540039,2060.629883,2041.689941,2047.599976,3359530000,2047.599976
2016-04-07,2063.01001,2063.01001,2033.800049,2041.910034,3801250000,2041.910034
2016-04-06,2045.560059,2067.330078,2043.089966,2066.659912,3750800000,2066.659912
2016-04-05,2062.50,2062.50,2042.560059,2045.170044,4154920000,2045.170044
2016-04-04,2073.189941,2074.02002,2062.570068,2066.129883,3485710000,2066.129883
2016-04-01,2056.620117,2075.070068,2043.97998,2072.780029,3749990000,2072.780029
2016-03-31,2063.77002,2067.919922,2057.459961,2059.73999,3715280000,2059.73999
2016-03-30,2058.27002,2072.209961,2058.27002,2063.949951,3590310000,2063.949951
2016-03-29,2035.75,2055.909912,2028.310059,2055.01001,3822330000,2055.01001
2016-03-28,2037.890015,2042.670044,2031.959961,2037.050049,2809090000,2037.050049
2016-03-24,2032.47998,2036.040039,2022.48999,2035.939941,3407720000,2035.939941
2016-03-23,2048.550049,2048.550049,2034.859985,2036.709961,3639510000,2036.709961
2016-03-22,2048.639893,2056.600098,2040.569946,2049.800049,3418460000,2049.800049
2016-03-21,2047.880005,2053.909912,2043.140015,2051.600098,3376600000,2051.600098
2016-03-18,2041.160034,2052.360107,2041.160034,2049.580078,6503140000,2049.580078
2016-03-17,2026.900024,2046.23999,2022.160034,2040.589966,4530480000,2040.589966
2016-03-16,2014.23999,2032.02002,2010.040039,2027.219971,4057020000,2027.219971
2016-03-15,2015.27002,2015.939941,2005.22998,2015.930054,3560280000,2015.930054
2016-03-14,2019.27002,2024.569946,2012.050049,2019.640015,3487850000,2019.640015
2016-03-11,1994.709961,2022.369995,1994.709961,2022.189941,4078620000,2022.189941
2016-03-10,1990.969971,2005.079956,1969.25,1989.569946,4376790000,1989.569946
2016-03-09,1981.439941,1992.689941,1979.839966,1989.26001,4038120000,1989.26001
2016-03-08,1996.880005,1996.880005,1977.430054,1979.26001,4641650000,1979.26001
2016-03-07,1996.109985,2006.119995,1989.380005,2001.76001,4968180000,2001.76001
2016-03-04,1994.01001,2009.130005,1986.77002,1999.98999,6049930000,1999.98999
2016-03-03,1985.599976,1993.689941,1977.369995,1993.400024,5081700000,1993.400024
2016-03-02,1976.599976,1986.51001,1968.800049,1986.449951,4666610000,1986.449951
2016-03-01,1937.089966,1978.349976,1937.089966,1978.349976,4819750000,1978.349976
2016-02-29,1947.130005,1958.27002,1931.810059,1932.22998,4588180000,1932.22998
2016-02-26,1954.949951,1962.959961,1945.780029,1948.050049,4348510000,1948.050049
2016-02-25,1931.869995,1951.829956,1925.410034,1951.699951,4118210000,1951.699951
2016-02-24,1917.560059,1932.079956,1891.00,1929.800049,4317250000,1929.800049
2016-02-23,1942.380005,1942.380005,1919.439941,1921.27002,3890650000,1921.27002
2016-02-22,1924.439941,1946.699951,1924.439941,1945.50,4054710000,1945.50
2016-02-19,1916.73999,1918.780029,1902.170044,1917.780029,4142850000,1917.780029
2016-02-18,1927.569946,1930.00,1915.089966,1917.829956,4436490000,1917.829956
2016-02-17,1898.800049,1930.680054,1898.800049,1926.819946,5011540000,1926.819946
2016-02-16,1871.439941,1895.77002,1871.439941,1895.579956,4570670000,1895.579956
2016-02-12,1833.400024,1864.780029,1833.400024,1864.780029,4696920000,1864.780029
2016-02-11,1847.00,1847.00,1810.099976,1829.079956,5500800000,1829.079956
2016-02-10,1857.099976,1881.599976,1850.319946,1851.859985,4471170000,1851.859985
2016-02-09,1848.459961,1868.25,1834.939941,1852.209961,5183220000,1852.209961
2016-02-08,1873.25,1873.25,1828.459961,1853.439941,5636460000,1853.439941
2016-02-05,1913.069946,1913.069946,1872.650024,1880.050049,4929940000,1880.050049
2016-02-04,1911.670044,1927.349976,1900.52002,1915.449951,5193320000,1915.449951
2016-02-03,1907.069946,1918.01001,1872.22998,1912.530029,5172950000,1912.530029
2016-02-02,1935.26001,1935.26001,1897.290039,1903.030029,4463190000,1903.030029
2016-02-01,1936.939941,1947.199951,1920.300049,1939.380005,4322530000,1939.380005
2016-01-29,1894.00,1940.23999,1894.00,1940.23999,5497570000,1940.23999
2016-01-28,1885.219971,1902.959961,1873.650024,1893.359985,4693010000,1893.359985
2016-01-27,1902.52002,1916.98999,1872.699951,1882.949951,4754040000,1882.949951
2016-01-26,1878.790039,1906.72998,1878.790039,1903.630005,4357940000,1903.630005
2016-01-25,1906.280029,1906.280029,1875.969971,1877.079956,4401380000,1877.079956
2016-01-22,1877.400024,1908.849976,1877.400024,1906.900024,4901760000,1906.900024
2016-01-21,1861.459961,1889.849976,1848.97998,1868.98999,5078810000,1868.98999
2016-01-20,1876.180054,1876.180054,1812.290039,1859.329956,6416070000,1859.329956
2016-01-19,1888.660034,1901.439941,1864.599976,1881.329956,4928350000,1881.329956
2016-01-15,1916.680054,1916.680054,1857.829956,1880.329956,5468460000,1880.329956
2016-01-14,1891.680054,1934.469971,1878.930054,1921.839966,5241110000,1921.839966
2016-01-13,1940.339966,1950.329956,1886.410034,1890.280029,5087030000,1890.280029
2016-01-12,1927.829956,1947.380005,1914.349976,1938.680054,4887260000,1938.680054
2016-01-11,1926.119995,1935.650024,1901.099976,1923.670044,4607290000,1923.670044
2016-01-08,1985.319946,1985.319946,1918.459961,1922.030029,4664940000,1922.030029
2016-01-07,1985.319946,1985.319946,1938.829956,1943.089966,5076590000,1943.089966
2016-01-06,2011.709961,2011.709961,1979.050049,1990.26001,4336660000,1990.26001
2016-01-05,2013.780029,2021.939941,2004.170044,2016.709961,3706620000,2016.709961
2016-01-04,2038.199951,2038.199951,1989.680054,2012.660034,4304880000,2012.660034
